Label,Category,Item,Total clicks,Contact ratio,Total contacts
wat-als-mijn-bezorging-vertraagd-is,Bestellen,,1,"0,00%",0
is-my-repair-free,Warranty and repair,Repair process,1,"174,00%",2
heb-ik-garantie-op-een-tweedekans-product,Garantie en reparatie,Kosten van reparatie,1,"0,00%",0
wat-moet-ik-doen-om-mijn-product-te-laten-repareren,,Reparatiestatus,1,"475,00%",5
ou-trouver-ma-facture,Coolblue Business,Payer,1,"0,00%",0
ou-est-mon-paquet,,Commande retardée ou non livrée,1,,0
waarom-krijg-ik-een-prijsopgave,Bezorgen en installeren,Overig,1,,0
wie-kann-ich-meine-bestellung-aendern,Bestellen,Sonstiges,1,"110,00%",1
ik-kan-mijn-coolbluetegoed-niet-verrekenen-wat-nu,Advies en ondersteuning,Overig,1,"0,00%",0
wo-ist-mein-paket,Sonstiges,Sonstiges,1,"108,00%",1
wat-moet-ik-doen-om-mijn-product-te-retourneren,Garantie en reparatie,Reparatie onjuist afgehandeld,1,"0,00%",0
quand-est-il-question-de-degats-dus-a-l-utilisation,Autre,Autre,1,,0
how-can-i-cancel-my-order,Advice and support,Other,1,"212,00%",2
hoe-vraag-ik-een-offerte-aan,Advies en ondersteuning,Advies bij aankoop,1,"0,00%",0
wat-moet-ik-doen-als-ik-mijn-pakket-niet-heb-ontvangen,Bezorgen en installeren,,1,,0
kann-ich-die-lieferadresse-meiner-bestellung-noch-aendern,Liefern und installieren,Bestellung verspätet oder nicht geliefert,1,"0,00%",0
what-does-the-stock-status-temporarily-sold-out-mean,Advice and support,Other,1,,0
wat-voor-retourmogelijkheden-heb-ik,Garantie en reparatie,Garantievoorwaarden,1,"132,00%",1
krijg-ik-na-retourneren-het-volledige-aankoopbedrag-terug,,Reparatieproces,1,"0,00%",0
hoe-annuleer-ik-mijn-bestelling,Bestellen,Orderbevestiging niet ontvangen,1,"0,00%",0
wat-moet-ik-doen-om-mijn-product-te-retourneren,Betalen,Cashback en productacties,1,"0,00%",0
hoe-vaak-krijg-ik-een-update-over-mijn-reparatie,,Reparatiestatus,1,"0,00%",0
hoe-kan-ik-mijn-bestelling-wijzigen,,,1,"0,00%",0
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Bestellen,Voorraad van producten,1,"151,00%",2
wat-als-ik-geen-terugbetaling-heb-ontvangen,,Terugbetaling van annulering,1,,0
do-you-take-my-old-television-with-you,Delivery and installation,Delivery and installation services,1,,0
gelten-aktionen-und-angebote-auch-fuer-zweite-chance-produkte,Bestellen,Sonstiges,1,,0
het-product-dat-ik-wil-kopen-is-in-prijs-gestegen-wat-nu,Garantie en reparatie,Overig,1,,0
kann-ich-mein-produkt-zurueckzugeben,Sonstiges,Reparatur falsch bearbeitet,1,"164,00%",2
réparez-vous-mon-produit-à-domicile-ou-dois-je-l-envoyer,Garantie et réparation,Signaler une réparation,1,"0,00%",0
kan-ik-rechtstreeks-contact-opnemen-met-de-winkels,Bezorgen en installeren,Overig,1,,0
kan-ik-achteraf-betalen,Coolblue Zakelijk,Zakelijk bestellen,1,"0,00%",0
wat-als-heb-betaald-met-bancontact-maar-geen-orderbevestiging-heb-ontvangen,Betalen,Betaalmethodes,1,"126,00%",1
can-i-have-my-product-repaired-at-coolblue,Advice and support,Other,1,"0,00%",0
wat-als-ik-met-ideal-heb-betaald-maar-nog-geen-orderbevestiging-heb-ontvangen,,Orderbevestiging niet ontvangen,1,,0
het-product-heeft-een-aanbieding-en-een-cashback-hoe-hoog-is-mijn-korting,,,1,"143,00%",1
waar-kan-ik-mijn-factuur-vinden,Overig,Prijs van producten,1,"187,00%",2
was-wenn-meine-reparatur-nicht-unter-die-werksgarantie-faellt,Garantie und Reparatur,Garantiebedingungen,1,,0
ik-wil-mijn-adres-wijzigen,Bestellen,Prijs van producten,1,,0
hoe-snel-wordt-ik-terugbetaald-na-retourneren,Coolblue Zakelijk,Betalen,1,"0,00%",0
wat-betekent-de-voorraadstatus-nooit-meer-leverbaar,Leveren en installeren,Bestelling vertraagd of niet geleverd,1,,0
het-product-dat-ik-wil-kopen-is-in-prijs-gestegen-wat-nu,Overig,Overig,1,,0
de-vervoerder-stuurt-mijn-bestelling-terug-naar-coolblue-wat-moet-ik-doen,Leveren en installeren,Bezorgstatus opvragen,1,"0,00%",0
biedt-coolblue-achteraf-betalen-aan,Bezorgen en installeren,,1,"0,00%",0
wat-is-de-status-van-mijn-bestelling,Overig,Retourproces,1,,0
ik-wil-mijn-adres-wijzigen,,Bestelling annuleren,1,"352,00%",4
op-mijn-postnl-track--trace-staat-dat-mijn-pakket-bezorgd-is-maar-ik-heb-niks-ontvangen-hoe-kan-dat,Winkels,Openingstijden en bereikbaarheid,1,,0
hoe-kan-ik-mijn-persoonlijke-korting-gebruiken,Bestellen,Voorraad van producten,1,"0,00%",0
wie-viel-guthaben-ist-noch-auf-meinem-geschenkgutschein,Umtausch und Rückgabe,Sonstiges,1,"247,00%",2
waar-vind-ik-of-een-product-op-voorraad-is-in-een-winkel,Advies en ondersteuning,Overig,1,,0
welche-art-von-garantie-habe-ich,Garantie und Reparatur,Garantiebedingungen,1,"107,00%",1
kann-ich-meine-rechnung-aendern,,Rechnung ändern,1,"0,00%",0
krijg-ik-na-retourneren-het-volledige-aankoopbedrag-terug,,,1,"0,00%",0
kan-ik-mijn-bestelling-wijzigen,Delivery and installation,Change delivery,1,"237,00%",2
how-do-i-register-my-repairs-online,Stores,Stock and assortment,1,,0
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Bestellen,Orderbevestiging niet ontvangen,1,"0,00%",0
how-do-i-register-my-repair-online,Warranty and repair,Repair process,1,,0
heb-ik-garantie-op-een-tweedekans-product,Garantie en reparatie,Garantievoorwaarden,1,,0
kan-ik-rechtstreeks-contact-opnemen-met-de-winkels,Overig,Bezorgstatus opvragen,1,"293,00%",3
kan-ik-mijn-bestelling-ophalen,,Bestelling ophalen,1,"220,00%",2
hoe-kan-ik-mijn-zakelijke-factuur-wijzigen,Bestellen,Bestelling annuleren,1,"0,00%",0
comment-payer-avec-des-ecocheques,Magasins,Autre,1,"130,00%",1
hoe-gebruik-ik-mijn-coolbluetegoed,Betalen,Overig,1,"336,00%",3
how-do-i-use-my-coolbluecredit,Payment,Payment methods,1,"0,00%",0
do-you-repair-products-at-home-or-do-i-have-to-send-it-in,Warranty and repair,Repair status,1,"0,00%",0
que-faire-si-ma-livraison-a-ete-retardee,Livraison et installation,Demander le statut de livraison,1,"131,00%",1
ik-wil-mijn-retour-wijzigen-of-annuleren,Bestellen,Overig,1,,0
est-ce-que-peux-enregistrer-des-produits-très-volumineux-en-ligne,Garantie et réparation,Cout de la réparation,1,,0
hoe-snel-wordt-ik-terugbetaald-na-retourneren,Advies en ondersteuning,Overig,1,"139,00%",1
how-do-i-return-my-products,Other,Warranty conditions,1,"0,00%",0
ik-wil-mijn-retour-annuleren,,Retournering of omruiling wijzigen,1,"0,00%",0
est-ce-que-mon-produit-est-en-stock,,,1,,0
wat-voor-soort-garantie-heb-ik,Garantie en reparatie,,1,,0
and-how-fast-will-i-receive-a-refund-after-return,Payment,Refund of cancellation,1,"0,00%",0
waar-kan-ik-de-status-van-mijn-terugbetaling-vinden,Coolblue Zakelijk,Betalen,1,"0,00%",0
ik-wil-mijn-adres-wijzigen,Ruilen en retourneren,Retour of omruiling aanmelden,1,,0
que-faire-si-je-n-ai-pas-recu-ma-commande,Livraison et installation,Autre,1,"0,00%",0
welke-bezorgopties-kun-je-kiezen-voor-witgoed-en-keukenapparatuur,Bezorgen en installeren,Bezorging wijzigen,1,"0,00%",0
welke-producten-kan-ik-bekijken-in-de-winkel,Ruilen en retourneren,Retourvoorwaarden,1,,0
kan-ik-mijn-bestelling-wijzigen,Coolblue Zakelijk,Zakelijk bestellen,1,"0,00%",0
kann-ich-mein-produkt-zurueckzugeben,Umtausch und Rückgabe,Rückgabestatus,1,,0
kan-ik-mijn-bestelling-annuleren,Advies en ondersteuning,Advies bij aankoop,1,"0,00%",0
hoe-moet-ik-mijn-product-inpakken-om-het-terug-te-sturen,Bezorgen en installeren,Bezorgstatus opvragen,1,"155,00%",2
hoe-werkt-het-als-je-witgoed-of-keukenapparatuur-besteld-met-extra-services,Garantie en reparatie,Garantievoorwaarden,1,"0,00%",0
est-ce-que-je-peux-payer-avec-des-ecocheques,,,1,,0
quels-sont-les-options-disponibles-pour-retourner-mon-produit,Échange et retour,Autre,1,,0
wanneer-krijg-ik-mijn-nieuwe-product,Ruilen en retourneren,Retour onjuist afgehandeld,1,"127,00%",1
kan-ik-mijn-toestel-in-de-winkel-laten-repareren,,Retourproces,1,"130,00%",1
how-can-i-exchange-my-gift-card,Payment,Other,1,,0
hoe-retourneer-ik-mijn-artikelen,Overig,Bezorg- en installatieservices,1,"0,00%",0
wie-lange-dauert-die-reparatur,Umtausch und Rückgabe,Rückgabeprozess,1,"0,00%",0
qu-est-ce-qu-un-credit-d-achat,Payer,Cashback et promotions de produits,1,,0
wat-is-de-status-van-mijn-bestelling,Other,,1,"126,00%",1
wie-melde-ich-online-meine-reparatur-an,,,1,"0,00%",0
is-mijn-product-op-voorraad,Bestellen,,1,,0
wat-voor-soort-garantie-heb-ik,Coolblue Zakelijk,Betalen,1,,0
hoe-vaak-krijg-ik-een-update-over-mijn-reparatie,Ruilen en retourneren,Overig,1,"0,00%",0
kann-ich-den-liefertermin-meiner-bestellung-aendern,Sonstiges,Sonstiges,1,"117,00%",1
hoe-retourneer-ik-mijn-artikelen,Coolblue Zakelijk,Ruilen en retourneren,1,"0,00%",0
wat-is-shoptegoed,Betalen,Cashback en productacties,1,"0,00%",0
mein-produkt-funktioniert-nicht-richtig-was-kann-ich-tun,Liefern und installieren,Bestellung verspätet oder nicht geliefert,1,"125,00%",1
wie-fordere-ich-ein-angebot-an,Bezahlen,Rechnung nachsenden,1,"109,00%",1
hoe-retourneer-ik-mijn-artikelen,Overig,Ruilen en retourneren,1,"245,00%",2
wat-voor-retourmogelijkheden-heb-ik,Garantie en reparatie,Retourproces,1,,0
hoe-kan-ik-met-ecocheques-betalen,Advies en ondersteuning,Hulp bij installatie en gebruik,1,"0,00%",0
was-passiert-wenn-ich-nicht-zu-hause-bin,Liefern und installieren,Sonstiges,1,,0
how-do-i-register-my-repairs-online,Advice and support,Other,1,"0,00%",0
ma-commande-a-ete-livree-mais-je-n-ai-pas-recu-tous-les-produits,,,1,"0,00%",0
que-faire-si-ma-reparation-n-est-pas-couverte-par-la-garantie-constructeur,Garantie et réparation,Processus de réparation,1,"0,00%",0
what-is-the-status-of-my-order,Other,Other,1,"0,00%",0
what-does-the-stock-status-never-in-stock-again-mean,Order,Stock of products,1,,0
hoe-kan-ik-mijn-bestelling-wijzigen,Overig,Bestelling wijzigen,1,"0,00%",0
wie-kann-ich-mit-paypal-bezahlen,Bezahlen,Zahlung fehlgeschlagen oder abgelehnt,1,"177,00%",2
kan-ik-extra-grote-producten-online-aanmelden,Garantie en reparatie,Overig,1,"208,00%",2
how-can-i-cancel-my-order,Payment,Refund of cancellation,1,"0,00%",0
wat-als-mijn-bezorging-vertraagd-is,Coolblue Zakelijk,Betalen,1,"114,00%",1
wat-is-de-status-van-mijn-bestelling,Overig,Factuur nasturen,1,"126,00%",1
my-postnl-track-trace-says-my-package-was-delivered-but-i-havent-received-anything-how-is-that-possible,Other,Change delivery,1,"276,00%",3
my-product-doesn-t-work-well-what-can-i-do,,Cashback and product promotions,1,,0
can-you-help-me-with-installing-and-using-my-product,Advice and support,Advice with purchase,1,"0,00%",0
hoe-kan-ik-de-bezorger-verrassen,Livraison et installation,Modifier la livraison,1,"0,00%",0
pouvez-vous-livrer-ma-commande-aujourd-hui,,Demander le statut de livraison,1,"0,00%",0
waar-is-mijn-pakketje,Ruilen en retourneren,Retournering of omruiling wijzigen,1,,0
est-ce-que-tous-les-magasins-coolblue-sont-ouverts,Magasins,Horaires d'ouverture et accessibilité,1,,0
welke-bezorgopties-kun-je-kiezen-voor-witgoed-en-keukenapparatuur,Bezorgen en installeren,Bezorgstatus opvragen,1,"164,00%",2
ou-trouver-ma-facture,Autre,Commande incomplète ou endommagée,1,"127,00%",1
kan-ik-mijn-factuur-wijzigen,Betalen,Betaling mislukt of geweigerd,1,"0,00%",0
waarom-krijg-ik-een-prijsopgave,Ruilen en retourneren,Retourproces,1,"0,00%",0
biedt-coolblue-achteraf-betalen-aan,Coolblue Zakelijk,Zakelijk bestellen,1,,0
can-i-have-my-product-repaired-at-coolblue,Warranty and repair,Repair process,1,,0
mijn-bestelling-is-vertraagd-kan-ik-mijn-bestelling-alsnog-vandaag-ontvangen,Bezorgen en installeren,Bezorging wijzigen,1,"0,00%",0
kan-ik-producten-bestellen-zonder-btw,,,1,"0,00%",0
waar-kan-ik-mijn-factuur-vinden,Advies en ondersteuning,Hulp bij installatie en gebruik,1,"124,00%",1
hoe-kan-ik-mijn-persoonlijke-korting-gebruiken,,Kortingen en tegoeden,1,"0,00%",0
wie-lange-dauert-es-bis-ich-mein-neues-produkt-erhalte,Umtausch und Rückgabe,Rückgabeprozess,1,"0,00%",0
je-veux-changer-mon-adresse,Livraison et installation,Services de livraison et d'installation,1,"284,00%",3
kan-ik-mijn-coolbluetegoed-in-delen-gebruiken,Advies en ondersteuning,Overig,1,"0,00%",0
wat-als-ik-dubbel-heb-betaald,Overig,Betaling mislukt of geweigerd,1,"185,00%",2
nemen-jullie-mijn-oude-televisie-mee,Advies en ondersteuning,Hulp bij installatie en gebruik,1,,0
nemen-jullie-mijn-oude-televisie-mee,Bestellen,Overig,1,"0,00%",0
will-you-take-my-old-television-with-you-for-free,Advice and support,Other,1,,0
ik-wil-mijn-adres-wijzigen,Bestellen,Orderbevestiging niet ontvangen,1,"194,00%",2
was-ist-der-status-meiner-ruecksendung,Umtausch und Rückgabe,Retoure oder Umtausch anmelden,1,"0,00%",0
kan-ik-extra-grote-producten-zoals-witgoed-en-keukenapparatuur-ook-online,Bezorgen en installeren,Bezorging wijzigen,1,"130,00%",1
wie-lange-habe-ich-garantie-auf-mein-produkt,Bestellen,Sonstiges,1,,0
mijn-pakketje-ligt-nog-niet-klaar-in-de-winkel-wat-kan-ik-doen,Overig,Bestelling ophalen,1,"220,00%",2
kunnen-jullie-me-helpen-bij-de-installatie-en-het-gebruik-van-mijn-product,Garantie en reparatie,Reparatieproces,1,,0
wie-kann-ich-bezahlen,Bestellen,Sonstiges,1,"0,00%",0
hoe-meld-ik-online-mijn-reparatie-aan,Coolblue Zakelijk,Ruilen en retourneren,1,"136,00%",1
wat-voor-retourmogelijkheden-heb-ik,Advies en ondersteuning,Hulp bij installatie en gebruik,1,,0
ik-kan-mijn-coolbluetegoed-niet-verrekenen-wat-nu,Bestellen,Acties op producten,1,"0,00%",0
biedt-coolblue-achteraf-betalen-aan,,Voorraad van producten,1,,0
do-i-have-a-warranty-on-a-second-chance-product,Garantie en reparatie,Overig,1,"0,00%",0
hoe-retourneer-ik-mijn-artikelen,Betalen,Betaalmethodes,1,"0,00%",0
wat-als-mijn-product-beschadigd-is-geleverd,Advies en ondersteuning,Overig,1,"188,00%",2
het-product-dat-ik-wil-kopen-is-in-prijs-gestegen-wat-nu,Ruilen en retourneren,Retourvoorwaarden,1,"0,00%",0
et-dans-quel-delai-est-ce-que-je-serai-rembourse-apres-mon-retour,Autre,Statut du processus de retour,1,,0
de-betaalstatus-in-mijncoolblue-klopt-niet,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,1,"0,00%",0
was-ist-der-status-meiner-ruecksendung,Umtausch und Rückgabe,Rückgabe oder Umtausch ändern,1,,0
waar-is-mijn-pakketje,Leveren en installeren,Levering wijzigen,1,"136,00%",1
ik-heb-geen-factuur,Bezorgen en installeren,Bezorging wijzigen,1,,0
waar-kan-ik-mijn-factuur-vinden,Overig,Betaling mislukt of geweigerd,1,"185,00%",2
how-do-i-cancel-my-order,Order,Cancel order,1,"0,00%",0
hoe-maak-ik-een-zakelijk-account-aan-,Bestellen,Overig,1,,0
wat-als-ik-dubbel-betaald-heb,Betalen,Betalen,1,"138,00%",1
kann-ich-die-lieferadresse-meiner-bestellung-noch-aendern,,,1,"114,00%",1
how-can-i-pay,Advice and support,Other,1,,0
hoe-lang-duurt-mijn-reparatie-in-de-winkel,Garantie en reparatie,Garantievoorwaarden,1,"298,00%",3
wat-zijn-de-algemene-voorwaarden-voor-zakelijke-klanten,,,1,"0,00%",0
kan-ik-online-een-bestelling-op-rekening-plaatsen,Bestellen,Bestelling annuleren,1,"0,00%",0
hoe-vaak-krijg-ik-een-update-over-mijn-reparatie,Garantie en reparatie,Overig,1,"409,00%",4
wat-zijn-de-retour-voorwaarden-voor-zakelijke-bestellingen,Betalen,,1,"0,00%",0
waarom-krijg-ik-een-prijsopgave,Advies en ondersteuning,,1,"0,00%",0
est-ce-que-tous-les-magasins-coolblue-sont-ouverts,Autre,Autre,1,"0,00%",0
ou-est-mon-paquet,Commander,,1,"170,00%",2
what-is-the-status-of-my-order,Other,Discounts and credits,1,"0,00%",0
kann-ich-im-nachhinein-bezahlen,Bezahlen,Zahlung fehlgeschlagen oder abgelehnt,1,"177,00%",2
repariert-ihr-mein-produkt-bei-mir-zu-hause-oder-muss-ich-es-einschicken,Liefern und installieren,Reparaturprozess,1,,0
hoe-kan-ik-een-bestelling-plaatsen,Bestellen,Voorraad van producten,1,"0,00%",0
kann-ich-meine-rechnung-aendern,Sonstiges,Rechnung ändern,1,"107,00%",1
ik-wil-mijn-product-in-de-winkel-retourneren,Ruilen en retourneren,Retourstatus,1,,0
kunnen-jullie-me-helpen-bij-de-installatie-en-het-gebruik-van-mijn-product,,Garantievoorwaarden,1,"0,00%",0
wat-voor-soort-garantie-heb-ik,,Overig,1,"161,00%",2
waarom-klopt-de-betaalstatus-in-mijn-coolblue-niet,Betalen,Betaalmethodes,1,"0,00%",0
kan-ik-rechtstreeks-contact-opnemen-met-de-winkels,Garantie en reparatie,Kosten van reparatie,1,"0,00%",0
wat-is-de-status-van-mijn-retourzending,,Retourproces,1,,0
why-was-my-credit-card-payment-declined,Payment,Payment methods,1,"399,00%",4
je-ne-trouve-plus-ma-reduction-que-faire,Payer,Autre,1,,0
comment-emballer-mon-produit-a-retourner,Échange et retour,Statut du processus de retour,1,"125,00%",1
hoe-meld-ik-online-mijn-reparatie-aan,Bezorgen en installeren,Overig,1,,0
extra-grote-producten-aanmelden-reparatie,Coolblue Zakelijk,Reparatie aanmelden,1,"0,00%",0
réparez-vous-mon-produit-à-domicile-ou-dois-je-l-envoyer,Garantie et réparation,Conditions de garantie,1,"189,00%",2
wat-betekent-de-voorraadstatus-tijdelijk-uitverkocht,,Voorraad van producten,1,,0
wie-fordere-ich-ein-angebot-an,Beratung und Unterstützung,Geschäftlich bestellen,1,"0,00%",0
wordt-mijn-oude-apparaat-meegenomen,Coolblue Energie,Bezorg- en installatieservices,1,"0,00%",0
installeren-jullie-mijn-nieuwe-televisie-voor-me,Advies en ondersteuning,Hulp bij installatie en gebruik,1,,0
wie-lange-dauert-es-bis-ich-mein-neues-produkt-erhalte,Umtausch und Rückgabe,Retoure falsch bearbeitet,1,"349,00%",3
ik-wil-mijn-retour-wijzigen-of-annuleren,Bestellen,Bestelling annuleren,1,"0,00%",0
ik-wil-mijn-adres-wijzigen,Overig,Reparatie aanmelden,1,,0
comment-modifier-ma-commande,Autre,Modifier votre commande,1,"0,00%",0
can-I-choose-a-time-slot-for-the-delivery-of-my-product,Delivery and installation,Other,1,,0
wat-voor-retourmogelijkheden-heb-ik,Betalen,Overig,1,"0,00%",0
moet-ik-iets-betalen-voor-het-terugsturen-van-mijn-product,Garantie en reparatie,Reparatieproces,1,"184,00%",2
ik-wil-mijn-adres-wijzigen,Overig,Reparatiestatus,1,"138,00%",1
hoe-snel-wordt-ik-terugbetaald-na-retourneren,Ruilen en retourneren,Retour onjuist afgehandeld,1,"0,00%",0
combien-de-temps-dure-une-reparation,Conseil et assistance,Autre,1,"0,00%",0
do-i-have-to-pay-in-advance-if-i-want-to-pick-up-a-product-in-the-store,Stores,Order pickup,1,"170,00%",2
hoe-lang-duurt-een-reparatie,Garantie en reparatie,Kosten van reparatie,1,"0,00%",0
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Order,Other,1,"343,00%",3
hoe-kan-ik-mijn-bestelling-wijzigen,Bestellen,Orderbevestiging niet ontvangen,1,"0,00%",0
i-dont-have-an-invoice,Payment,Other,1,"0,00%",0
hoe-maak-ik-een-zakelijk-account-aan-,Bestellen,Voorraad van producten,1,"0,00%",0
hoe-weet-ik-wanneer-mijn-bestelling-klaarligt-in-de-winkel,Winkels,Overig,1,"220,00%",2
where-can-i-find-my-invoice,Other,Warranty conditions,1,,0
where-can-i-find-my-invoice,,Register a repair,1,,0
my-product-doesn-t-work-well-what-can-i-do,Warranty and repair,Warranty conditions,1,,0
mijn-bestelling-gaat-terug-naar-coolblue-wat-moet-ik-doen-als-ik-hem-alsnog,Bezorgen en installeren,Bezorgstatus opvragen,1,"154,00%",2
kan-ik-extra-grote-producten-zoals-witgoed-en-keukenapparatuur-ook-online,Advies en ondersteuning,Advies bij aankoop,1,"0,00%",0
wat-moet-ik-doen-om-mijn-product-te-retourneren,Leveren en installeren,Overig,1,"135,00%",1
kan-ik-extra-grote-producten-zoals-witgoed-en-keukenapparatuur-ook-online,Ruilen en retourneren,Retour onjuist afgehandeld,1,,0
tot-wanneer-is-mijn-coolbluetegoed-geldig,Winkels,Overig,1,,0
wat-zijn-de-algemene-voorwaarden-voor-zakelijke-klanten,Overig,Zakelijk bestellen,1,"0,00%",0
bekomme-ich-nach-der-rueckgabe-den-vollstaendigen-kaufbetrag-zurueck,Sonstiges,Retoure falsch bearbeitet,1,,0
kan-ik-extra-grote-producten-online-aanmelden,Overig,Reparatie aanmelden,1,"0,00%",0
het-product-dat-ik-wil-kopen-is-in-prijs-gestegen-wat-nu,,Prijs van producten,1,"0,00%",0
hoe-meld-ik-online-mijn-reparatie-aan,Winkels,Openingstijden en bereikbaarheid,1,"0,00%",0
waar-kan-ik-mijn-factuur-vinden,Bezorgen en installeren,Onvolledige of beschadigde bestelling,1,"0,00%",0
ik-heb-geen-factuur,Ruilen en retourneren,Retourvoorwaarden,1,,0
koennt-ihr-mir-bei-der-einrichtung-und-verwendung-meines-produkts-helfen,Beratung und Unterstützung,Sonstiges,1,,0
kan-ik-mijn-bestelling-wijzigen,,Bestelling wijzigen,1,"0,00%",0
what-are-the-delivery-options-for-white-goods,Delivery and installation,Other,1,"157,00%",2
wie-fordere-ich-cashback-an,Bezahlen,Cashback- und Produktaktionen,1,"0,00%",0
hoe-vraag-ik-een-cashback-aan,Bezorgen en installeren,Bezorg- en installatieservices,1,,0
my-ideal-payment-failed,Other,Other,1,"0,00%",0
waar-kan-ik-mijn-factuur-vinden,Overig,Advies bij aankoop,1,,0
kunnen-jullie-mijn-pakket-vandaag-nog-bezorgen,Bezorgen en installeren,Overig,1,,0
waar-is-mijn-pakketje,Ruilen en retourneren,,1,"0,00%",0
comment-modifier-ma-facture-business,Conseil et assistance,Autre,1,,0
het-product-dat-ik-wil-kopen-is-in-prijs-gestegen-wat-nu,Betalen,Overig,1,"140,00%",1
hoe-annuleer-ik-mijn-bestelling,Overig,,1,"0,00%",0
was-du-sonst-noch-ueber-unsere-zusaetzlichen-dienstleistungen-wissen-solltest,Beratung und Unterstützung,Hilfe bei Installation und Verwendung,1,,0
hoe-weet-ik-wanneer-mijn-bestelling-klaarligt-in-de-winkel,Leveren en installeren,Bestelling vertraagd of niet geleverd,1,"0,00%",0
hoe-gebruik-ik-mijn-coolbluetegoed,Payment,Discounts and credits,1,"0,00%",0
schliesst-ihr-meinen-neuen-fernseher-an,Bestellen,Liefer- und Anschlussservices,1,"0,00%",0
waar-is-mijn-pakketje,Advies en ondersteuning,Advies bij aankoop,1,"0,00%",0
wo-ist-mein-paket,CoolblueBusiness,Lieferung,1,,0
welche-art-von-garantie-habe-ich,,Sonstiges,1,"108,00%",1
installeren-jullie-mijn-nieuwe-televisie-voor-me,Betalen,Betaalmethodes,1,"0,00%",0
hoe-ontvang-ik-mijn-terugbetaling,Coolblue Zakelijk,Betalen,1,"0,00%",0
hoe-meld-ik-online-mijn-reparatie-aan,Ruilen en retourneren,Retournering of omruiling wijzigen,1,"0,00%",0
will-I-get-the-full-purchase-amount-back-after-I-return-my-product,Exchange and return,Return handled incorrectly,1,"106,00%",1
kan-ik-mijn-product-laten-repareren-bij-coolblue,Bestellen,Overig,1,,0
wo-kann-ich-meine-rechnung-finden,,Bestellbestätigung nicht erhalten,1,"109,00%",1
can-i-return-my-product,Exchange and return,Register return or exchange,1,"166,00%",2
do-cashbacks-apply-to-second-chance-products,Other,Promotions on products,1,"0,00%",0
mijn-bestelling-is-vertraagd-kan-ik-mijn-bestelling-alsnog-vandaag-ontvangen,,,1,"139,00%",1
can-i-register-extra-large-products-such-as-white-goods-and-kitchen-appliances-as-a-return-online-as-well,Exchange and return,Change return or exchange,1,"179,00%",2
ich-habe-mehrere-produkte-zurueckgegeben-weshalb-wurde-nur-eines-erstattet,Bezahlen,Erstattung einer stornierten Bestellung,1,"113,00%",1
krijg-ik-na-retourneren-het-volledige-aankoopbedrag-terug,Ruilen en retourneren,Retour of omruiling aanmelden,1,"0,00%",0
wie-kann-ich-meine-bestellung-aendern,Bestellen,Bestellung stornieren,1,"110,00%",1
comment-modifier-ma-commande,Livraison et installation,Autre,1,"0,00%",0
hoe-lang-duurt-mijn-reparatie-in-de-winkel,Bezorgen en installeren,Bezorging wijzigen,1,,0
wat-is-de-status-van-mijn-bestelling,Overig,Retournering of omruiling wijzigen,1,"127,00%",1
op-welke-manieren-kan-in-betalen-als-zakelijke-klant,Bestellen,Voorraad van producten,1,,0
hoe-kan-ik-met-ecocheques-betalen,Winkels,Services,1,,0
kann-ich-im-nachhinein-bezahlen,Garantie und Reparatur,Zahlungsarten,1,"0,00%",0
est-ce-que-je peux-recuperer-un-produit-au-magasin-s-il-est-temporairement-en-rupture-de-stock-en-ligne,Magasins,Récupérer votre commande,1,"133,00%",1
kan-ik-rechtstreeks-contact-opnemen-met-de-winkels,,,1,"179,00%",2
extra-grote-producten-aanmelden-reparatie,Overig,Overig,1,"0,00%",0
wat-is-de-status-van-mijn-bestelling,,Bestelling ophalen,1,"0,00%",0
my-order-was-delivered-but-i-didnt-receive-all-products,Delivery and installation,Other,1,"861,00%",9
hoe-vraag-ik-een-offerte-aan,Winkels,Zakelijk bestellen,1,"0,00%",0
kan-ik-mijn-factuur-wijzigen,Betalen,Terugbetaling van annulering,1,"144,00%",1
hoe-kan-ik-betalen,Leveren en installeren,Overig,1,"0,00%",0
kan-ik-mijn-bestelling-op-afspraak-laten-bezorgen,Advies en ondersteuning,Advies bij aankoop,1,"0,00%",0
hoeveel-garantie-heb-ik-op-mijn-product,Garantie en reparatie,,1,"0,00%",0
how-much-warranty-do-i-have-on-my-product,Other,Warranty conditions,1,"0,00%",0
how-can-i-change-or-cancel-my-return,,Other,1,"143,00%",1
wat-moet-ik-doen-als-ik-mijn-bestelling-niet-heb-ontvangen,Leveren en installeren,,1,"0,00%",0
waar-kan-ik-de-status-van-mijn-terugbetaling-vinden,,,1,,0
mijn-bestelling-is-geleverd-maar-ik-heb-niet-alle-producten-ontvangen,Garantie en reparatie,Overig,1,"0,00%",0
ik-ben-niet-tevreden-over-de-bezorger-waar-kan-ik-mijn-ei-kwijt,Bezorgen en installeren,Bezorg- en installatieservices,1,"125,00%",1
what-if-i-paid-with-ideal-but-havent-received-an-order-confirmation-yet,Order,Other,1,,0
is-reparatie-altijd-gratis,Leveren en installeren,Onvolledige of beschadigde bestelling,1,"0,00%",0
